Question ID,Precision at 1,Precision at 5,Reciprocal rank,Average precision,,TP,FN,FP,TN,Precision,Recall,Accuracy,Error,F1
1949,0.0,0.4,0.25,0.328,,2.0,1.0,3.0,7.0,0.4,0.667,0.692,0.308,0.5
1961,0.0,0.4,0.333,0.411,,2.0,1.0,3.0,6.0,0.4,0.667,0.667,0.333,0.5
1970,0.0,0.2,0.25,0.33,,1.0,4.0,4.0,5.0,0.2,0.2,0.429,0.571,0.2
1997,1.0,0.2,1.0,0.6,,1.0,1.0,4.0,7.0,0.2,0.5,0.615,0.385,0.286
2073,0.0,0.6,0.5,0.573,,3.0,4.0,2.0,5.0,0.6,0.429,0.571,0.429,0.5
2162,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,5.0,0.0,0.0,0.5,0.5,0.0
2184,0.0,0.4,0.5,0.542,,2.0,5.0,3.0,5.0,0.4,0.286,0.467,0.533,0.333
2271,0.0,0.2,0.5,0.317,,1.0,2.0,4.0,6.0,0.2,0.333,0.538,0.462,0.25
2293,1.0,0.8,1.0,0.943,,4.0,1.0,1.0,3.0,0.8,0.8,0.778,0.222,0.8
2317,0.0,0.2,0.25,0.25,,1.0,0.0,4.0,9.0,0.2,1.0,0.714,0.286,0.333


MAP = 0.429
MRR = 0.458
Micro-average F1 = 0.37
Macro-average F1 = 0.395
TP total = 17.0
FP total = 33.0
FN total = 19.0
